recalling_firm,n_recalls,n_fei,first_action,last_action,normalized_name
"New Wave Endo-Surgical, Corp.",1,1,2020-07-08,2020-07-08,NEW WAVE ENDO SURGICAL
Groman Inc.,1,1,2010-12-13,2010-12-13,GROMAN
Gsi Group Inc,1,1,2015-12-02,2015-12-02,GSI
Guidant Corporation Advanced CardiovascularSystem,1,1,2005-01-27,2005-01-27,GUIDANT ADVANCED CARDIOVASCULARSYSTEM
Nobel Biocare USA LLC,1,1,2007-11-02,2007-11-02,NOBEL BIOCARE
Nobel Biocare USA Inc,1,1,2003-01-27,2003-01-27,NOBEL BIOCARE
"Gulf Fiberoptics, Inc.",1,1,2012-04-09,2012-04-09,GULF FIBEROPTICS
"Gulf Medical Fiberoptics, Inc.",1,1,2011-05-13,2011-05-13,GULF MEDICAL FIBEROPTICS
Gynex Corporation,1,1,2012-09-06,2012-09-06,GYNEX
"Gyrus Medical, Inc.",1,1,2006-05-15,2006-05-15,GYRUS MEDICAL
"Nipro Diabetes Systems, Inc.",1,1,2004-05-07,2004-05-07,NIPRO DIABETES SYSTEMS
Nipro Corp,1,1,2002-11-08,2002-11-08,NIPRO
Ninepoint Medical Inc.,1,1,2018-04-11,2018-04-11,NINEPOINT MEDICAL
Nikon Metrology,1,1,2019-12-23,2019-12-23,NIKON METROLOGY
Nikkiso Ltd Shizuoka Plant 498 1 Shizutani; Shizuoka-Ken Makinohara Japan,1,1,2021-11-24,2021-11-24,NIKKISO SHIZUOKA PLANT 498 1 SHIZUTANI SHIZUOKA KEN MAKINOHARA JAPAN
H & H Associates,1,1,2013-08-27,2013-08-27,H AND H ASSOCIATES
"Nidek, Inc.",1,1,2019-02-25,2019-02-25,NIDEK
"H & P Industries, Inc. dba Triad Group",1,1,2010-12-23,2010-12-23,H AND P INDUSTRIES TRIAD
"HANGZHOU ACOSOUND TECHNOLOGY CO., LTD. No.2 Building Room 401 No.",1,1,2025-04-25,2025-04-25,HANGZHOU ACOSOUND TECHNOLOGY NO 2 BUILDING ROOM 401 NO
"HANGZHOU BEVER MEDICAL DEVICES CO., LTD.",1,1,2025-11-29,2025-11-29,HANGZHOU BEVER MEDICAL DEVICES
HEALTH ROBOTICS S.R.L. Via Sebastian Altmann 9 A 39100 Bolzano Italy,1,1,2016-11-23,2016-11-23,HEALTH ROBOTICS S R L VIA SEBASTIAN ALTMANN 9 A 39100 BOLZANO ITALY
HF Acquisition Co. LLC,1,1,2020-06-05,2020-06-05,HF ACQUISITION
"HILL-ROM MANUFACTURING, INC.",1,1,2017-09-15,2017-09-15,HILL ROM MANUFACTURING
HUBO INTERNATIONAL INC,1,1,2020-10-23,2020-10-23,HUBO
HUMAN MED AG Wilhelm-Hennemann-Str. 9 Schwerin Germany,1,1,2024-10-18,2024-10-18,HUMAN MED WILHELM HENNEMANN STR 9 SCHWERIN GERMANY
Haemacure Corporation,1,1,2009-11-16,2009-11-16,HAEMACURE
"Nemschoff Chairs, Inc.
 909 N 8th St
 2218 Julson Ct
 Sheboygan WI 53081-4056",1,1,2011-01-18,2011-01-18,NEMSCHOFF CHAIRS 909 N 8TH ST 2218 JULSON CT SHEBOYGAN WI 53081 4056
"Nemschoff Chairs, Inc.",1,1,2011-10-14,2011-10-14,NEMSCHOFF CHAIRS
"Nelson Innovaions, Llc",1,1,2020-02-11,2020-02-11,NELSON INNOVAIONS
"Healthway Home Products, Inc.",1,1,2012-01-09,2012-01-09,HEALTHWAY HOME PRODUCTS
"NDO Surgical, Inc.",1,1,2007-01-26,2007-01-26,NDO SURGICAL
Hero Health,1,1,2021-07-02,2021-07-02,HERO HEALTH
Hiossen Inc. Keystone Industrial Port Complex,1,1,2023-04-06,2023-04-06,HIOSSEN KEYSTONE INDUSTRIAL PORT COMPLEX
Myolyn Inc.,1,1,2022-07-19,2022-07-19,MYOLYN
Myofunctional Research Company USA,1,1,2025-10-09,2025-10-09,MYOFUNCTIONAL RESEARCH
"Hitachi Aloka Medical, Ltd.",1,1,2014-06-11,2014-06-11,HITACHI ALOKA MEDICAL
My Cosmetics Inc,1,1,2002-11-13,2002-11-13,MY COSMETICS
Hitachi Chemical Diagnostics Inc,1,1,2012-12-21,2012-12-21,HITACHI CHEMICAL DIAGNOSTICS
Hitachi Healthcare Americas Corp Informatics Division,1,1,2018-08-28,2018-08-28,HITACHI HEALTHCARE AMERICAS INFORMATICS DIVISION
Multidata Systems Intl Corp,1,1,2002-11-10,2002-11-10,MULTIDATA SYSTEMS
"Hitachi Ltd., Medical System Operations Group 2-1 Shintoyofuta Kashiwa Japan",1,1,2017-12-08,2017-12-08,HITACHI MEDICAL SYSTEM OPERATIONS 2 1 SHINTOYOFUTA KASHIWA JAPAN
"Mueller Sports Medicine, Inc",1,1,2020-06-18,2020-06-18,MUELLER SPORTS MEDICINE
"Moximed, Inc.",1,1,2024-12-02,2024-12-02,MOXIMED
Hoana Medical,1,1,2007-11-07,2007-11-07,HOANA MEDICAL
Motorola Inc,1,1,2012-04-27,2012-04-27,MOTOROLA
"Motion Control, Inc.",1,1,2005-02-01,2005-02-01,MOTION CONTROL
Motion Concepts 84 Citation Drive Units 1-7 Concord Canada,1,1,2014-08-28,2014-08-28,MOTION CONCEPTS 84 CITATION DRIVE UNITS 1 7 CONCORD CANADA
Hocoma AG Florastrasse 47 Zuerich Switzerland,1,1,2009-05-27,2009-05-27,HOCOMA FLORASTRASSE 47 ZUERICH SWITZERLAND
Hocoma AG Industriestrasse 4 Volketswil Switzerland,1,1,2020-06-08,2020-06-08,HOCOMA INDUSTRIESTRASSE 4 VOLKETSWIL SWITZERLAND
Hollister Stier Laboratories LLC,1,1,2006-04-20,2006-04-20,HOLLISTER STIER LABORATORIES
"Monarch Labs, LLC",1,1,2009-05-03,2009-05-03,MONARCH LABS
Home Access Health Corp (HAHC),1,1,2006-10-06,2006-10-06,HOME ACCESS HEALTH HAHC
Molnlycke Health Care Inc,1,1,2003-07-14,2003-07-14,MOLNLYCKE HEALTH CARE
"Home Health US, Incorporated",1,1,2025-07-25,2025-07-25,HOME HEALTH
Mobius Mobility LLC,1,1,2025-04-24,2025-04-24,MOBIUS MOBILITY
"NEO METRICS, INC.",1,1,2014-03-31,2014-03-31,NEO METRICS
NEOSTEO 2 rue Robert Schuman Reze France,1,1,2020-11-03,2020-11-03,NEOSTEO 2 RUE ROBERT SCHUMAN REZE FRANCE
Hermes Medical Solutions AB Strandbergsgatan 16 Stockholm Sweden,1,1,2024-10-31,2024-10-31,HERMES MEDICAL SOLUTIONS STRANDBERGSGATAN 16 STOCKHOLM SWEDEN
"Natus Manufacturing Limited IDA Business Park GORT, Galway Ireland",1,1,2016-10-15,2016-10-15,NATUS MANUFACTURING IDA BUSINESS PARK GORT GALWAY IRELAND
"Heartport, Inc. Route",1,1,2005-04-12,2005-04-12,HEARTPORT ROUTE
Neilmed Pharmaceuticals Inc,1,1,2024-12-28,2024-12-28,NEILMED PHARMACEUTICALS
"Nebion, LLC",1,1,2008-06-25,2008-06-25,NEBION
"Hebron International, Inc.",1,1,2006-05-10,2006-05-10,HEBRON
Navinetics Inc,1,1,2024-02-26,2024-02-26,NAVINETICS
Navajo Manufacturing Company,1,1,2026-02-18,2026-02-18,NAVAJO MANUFACTURING
Natus Neurology Incorporated,1,1,2013-02-27,2013-02-27,NATUS NEUROLOGY
Heidelberg Engineering,1,1,2017-12-08,2017-12-08,HEIDELBERG ENGINEERING
Heidelberg Engineering GmbH Tiergartenstr. 15 Heidelberg Germany,1,1,2019-07-03,2019-07-03,HEIDELBERG ENGINEERING TIERGARTENSTR 15 HEIDELBERG GERMANY
Heinz Kurz GmbH Medizintechnik Tuebinger Strasse 3 Dillingen Germany,1,1,2011-04-27,2011-04-27,HEINZ KURZ MEDIZINTECHNIK TUEBINGER STRASSE 3 DILLINGEN GERMANY
Natus Manufacturing Limited Ida Business Park Glenbrack Road Galway Ireland,1,1,2021-01-12,2021-01-12,NATUS MANUFACTURING IDA BUSINESS PARK GLENBRACK ROAD GALWAY IRELAND
HemoCue AB Kuvettgatan 1 Angelholm Sweden,1,1,2025-05-12,2025-05-12,HEMOCUE KUVETTGATAN 1 ANGELHOLM SWEDEN
NEUSOFT MEDICAL SYSTEMS IMP &,1,1,2019-01-09,2019-01-09,NEUSOFT MEDICAL SYSTEMS IMP AND
Namsa,1,1,2005-03-18,2005-03-18,NAMSA
"Nalu Medical, Inc.",1,1,2024-06-03,2024-06-03,NALU MEDICAL
NXTHERA,1,1,2017-07-28,2017-07-28,NXTHERA
NRT X-RAY A/S Birkegardsvej 16 BIRKEGAARDSVEJ 16 Hasselager Denmark,1,1,2022-01-21,2022-01-21,NRT X RAY A S BIRKEGARDSVEJ 16 BIRKEGAARDSVEJ 16 HASSELAGER DENMARK
NRT Nordisk Rontgen Teknik A/S Birkegaardsvej 16 Hasselager Denmark,1,1,2009-05-01,2009-05-01,NRT NORDISK RONTGEN TEKNIK A S BIRKEGAARDSVEJ 16 HASSELAGER DENMARK
NOX MEDICAL Keldnaholt Reykjavik Iceland,1,1,2021-09-07,2021-09-07,NOX MEDICAL KELDNAHOLT REYKJAVIK ICELAND
"Heritage Medical Products, Inc.",1,1,2016-09-02,2016-09-02,HERITAGE MEDICAL PRODUCTS
NOBEL BIOCARE SERVICES AG Balz-zimmermannstrasse 7 Kloten Switzerland,1,1,2020-07-20,2020-07-20,NOBEL BIOCARE SERVICES BALZ ZIMMERMANNSTRASSE 7 KLOTEN SWITZERLAND
NOA Medical Industries Inc,1,1,2024-11-05,2024-11-05,NOA MEDICAL INDUSTRIES
"NIPRO Technical Services, Inc.",1,1,2025-12-12,2025-12-12,NIPRO TECHNICAL SERVICES
"NIHON KOHDEN ORANGEMED, INC",1,1,2021-07-20,2021-07-20,NIHON KOHDEN ORANGEMED
"Instratek, Incorporated
 15200 Middlebrook Dr
 Ste G
 Houston TX 77058-1216",1,1,2013-04-25,2013-04-25,INSTRATEK 15200 MIDDLEBROOK DR STE G HOUSTON TX 77058 1216
Medtronic Cardiovascular,1,1,2008-11-24,2008-11-24,MEDTRONIC CARDIOVASCULAR
Creganna Medical Devices Parkmore House Mweeloon Galway Ireland,1,1,2023-06-22,2023-06-22,CREGANNA MEDICAL DEVICES PARKMORE HOUSE MWEELOON GALWAY IRELAND
MCKESSON TECHNOLOGIES INC,1,1,2013-07-22,2013-07-22,MCKESSON TECHNOLOGIES
"MAST Biosurgery USA, Inc",1,1,2014-08-26,2014-08-26,MAST BIOSURGERY
MARVAO MEDICAL DEVICES LTD. Unit 1 Galway Business Park Dangan Galway Ireland,1,1,2020-02-11,2020-02-11,MARVAO MEDICAL DEVICES UNIT 1 GALWAY BUSINESS PARK DANGAN GALWAY IRELAND
Kentucky Packaging Service LP,1,1,2009-09-24,2009-09-24,KENTUCKY PACKAGING SERVICE
MAQUET GMBH Kehler Str. 31 Rastatt Germany,1,1,2025-07-14,2025-07-14,MAQUET KEHLER STR 31 RASTATT GERMANY
Ki Mobility Llc,1,1,2021-11-19,2021-11-19,KI MOBILITY
Kim's Trading Inc,1,1,2010-05-17,2010-05-17,KIM S TRADING
Lymol Medical Corporation,1,1,2021-07-29,2021-07-29,LYMOL MEDICAL
Luxottica Optical Manufacturing,1,1,2010-06-30,2010-06-30,LUXOTTICA OPTICAL MANUFACTURING
Luv N' Care Ltd,1,1,2009-07-17,2009-07-17,LUV N CARE
Kinamed Inc,1,1,2010-08-18,2010-08-18,KINAMED
King International,1,1,2011-08-30,2011-08-30,KING
"Kingswood Laboratories, Inc",1,1,2005-04-22,2005-04-22,KINGSWOOD LABORATORIES
Kinova Inc,1,1,2024-08-22,2024-08-22,KINOVA
"Lumiport, LLC",1,1,2006-09-28,2006-09-28,LUMIPORT
Kinsman Enterprises Inc,1,1,2021-09-10,2021-09-10,KINSMAN ENTERPRISES
Klarity Medical Products LLC,1,1,2020-07-31,2020-07-31,KLARITY MEDICAL PRODUCTS
"Lumicell, Inc.",1,1,2025-07-31,2025-07-31,LUMICELL
Klowen Braces,1,1,2026-06-08,2026-06-08,KLOWEN BRACES
"Lumenis Ltd
 13 Hayetzira St.,Yokneam Ind. Park
 Yokneam Israel",1,1,2015-11-17,2015-11-17,LUMENIS 13 HAYETZIRA ST YOKNEAM IND PARK YOKNEAM ISRAEL
"Koios Medical, Inc.",1,1,2019-12-31,2019-12-31,KOIOS MEDICAL
"Lumenis 13 Hayetzira St., Yokneam Ind. Park Yokneam Israel",1,1,2015-07-30,2015-07-30,LUMENIS 13 HAYETZIRA ST YOKNEAM IND PARK YOKNEAM ISRAEL
Lumend Inc,1,1,2004-05-18,2004-05-18,LUMEND
"Konica Minolta Healthcare Americas, Inc.",1,1,2021-12-03,2021-12-03,KONICA MINOLTA HEALTHCARE AMERICAS
"Konica Minolta Healthcare, Americas, Inc.",1,1,2018-11-08,2018-11-08,KONICA MINOLTA HEALTHCARE AMERICAS
Lsi Medience Corporation 13-4 Uchikanda,1,1,2016-08-16,2016-08-16,LSI MEDIENCE 13 4 UCHIKANDA
MAX LUX CORP 03e 01 01 Yangxi Indust Ry Zone Yangjiangyangjiang China,1,1,2021-10-26,2021-10-26,MAX LUX 03E 01 01 YANGXI INDUST RY ZONE YANGJIANGYANGJIANG CHINA
MCKESSON TECHNOLOGIES INC.,1,1,2013-03-15,2013-03-15,MCKESSON TECHNOLOGIES
Macherey Nagel Gmbh & Co. Kg Valencienner Str. 11 Duren Germany,1,1,2024-04-04,2024-04-04,MACHEREY NAGEL AND KG VALENCIENNER STR 11 DUREN GERMANY
MDC Acquisition Co.,1,1,2010-04-23,2010-04-23,MDC ACQUISITION
Mac Medical Supply Co Inc,1,1,2021-08-04,2021-08-04,MAC MEDICAL SUPPLY
"KT Health, LLC",1,1,2019-09-16,2019-09-16,KT HEALTH
MTI Precision Products LLC.,1,1,2012-05-07,2012-05-07,MTI PRECISION PRODUCTS
"MRP, LLC dba Aquabiliti",1,1,2023-12-28,2023-12-28,MRP AQUABILITI
MRIMed Inc.,1,1,2025-10-13,2025-10-13,MRIMED
MOTEK MEDICAL B.V. Hogehilweg 18 18 Unit C Amsterdam Netherlands,1,1,2019-07-29,2019-07-29,MOTEK MEDICAL B V HOGEHILWEG 18 18 UNIT C AMSTERDAM NETHERLANDS
MONICA HEALTHCARE LTD Interchange 25 Business Park Bostocks Lane Nottingham United Kingdom,1,1,2017-04-28,2017-04-28,MONICA HEALTHCARE INTERCHANGE 25 BUSINESS PARK BOSTOCKS LANE NOTTINGHAM UNITED KINGDOM
Kaneka America Corp,1,1,2022-02-17,2022-02-17,KANEKA AMERICA
MITO RED LIGHT INC,1,1,2025-02-12,2025-02-12,MITO RED LIGHT
MIMvista Corp,1,1,2008-04-23,2008-04-23,MIMVISTA
MIM Software Inc,1,1,2025-02-19,2025-02-19,MIM SOFTWARE
Kardium 12851 Rowan Pl Richmond Canada British Columbia,1,1,2012-08-28,2012-08-28,KARDIUM 12851 ROWAN PL RICHMOND CANADA BRITISH COLUMBIA
"MESA BIOTECH, INC",1,1,2022-04-06,2022-04-06,MESA BIOTECH
MERCHSOURCE LLC,1,1,2022-08-01,2022-08-01,MERCHSOURCE
"MELA Sciences, Inc.",1,1,2015-04-02,2015-04-02,MELA SCIENCES
"Karl Storz Endovision, Inc.",1,1,2016-02-29,2016-02-29,KARL STORZ ENDOVISION
MEDTECH SAS Parc Euromedecine Batiment,1,1,2018-05-08,2018-05-08,MEDTECH SAS PARC EUROMEDECINE BATIMENT
Karman Healthcare Inc,1,1,2016-01-27,2016-01-27,KARMAN HEALTHCARE
Kavo America Corporation,1,1,2006-11-22,2006-11-22,KAVO AMERICA
MEDIVANCE INC.,1,1,2005-01-05,2005-01-05,MEDIVANCE
"MEDICAMAT S.A. 59, Avenue Augustin-Dumont Malakoff France",1,1,2013-02-18,2013-02-18,MEDICAMAT S A 59 AVENUE AUGUSTIN DUMONT MALAKOFF FRANCE
"MEDDEV USA, INC.",1,1,2012-05-10,2012-05-10,MEDDEV
Keeler Instruments Inc,1,1,2008-01-08,2008-01-08,KEELER INSTRUMENTS
"MDS Canada Inc. DBA MDS Nordion
 447 March Road
 Ottawa Canada Ontario",1,1,2009-02-24,2009-02-24,MDS CANADA MDS NORDION 447 MARCH ROAD OTTAWA CANADA ONTARIO
Kendall a Division of Tyco Healthcare Group LP,1,1,2006-09-11,2006-09-11,KENDALL A DIVISION OF TYCO HEALTHCARE
"Konica Minolta, Inc.",1,1,2017-04-24,2017-04-24,KONICA MINOLTA
"Lorad, A Hologic, Inc.",1,1,2008-02-28,2008-02-28,LORAD A HOLOGIC
"KooJoo Trading Company 116-7 Songma-li, Daegoj-myun Gimpo City, Gyeongki-Do Korea, Republic Of (South)",1,1,2013-07-03,2013-07-03,KOOJOO TRADING 116 7 SONGMA LI DAEGOJ MYUN GIMPO CITY GYEONGKI DO KOREA REPUBLIC OF SOUTH
Loma Vista Medical,1,1,2013-03-18,2013-03-18,LOMA VISTA MEDICAL
"Life-Tech International, Inc",1,1,2001-05-09,2001-05-09,LIFE TECH
LONGHORN VACCINES AND DIAGNOSTIC 2 Bethesda Metro Cente,1,1,2020-06-03,2020-06-03,LONGHORN VACCINES AND DIAGNOSTIC 2 BETHESDA METRO CENTE
"Life Recovery Systems HD, LLC",1,1,2011-10-21,2011-10-21,LIFE RECOVERY SYSTEMS HD
"Life Force of Tampa, LLC",1,1,2014-06-27,2014-06-27,LIFE FORCE OF TAMPA
"Lidco Ltd
 16 Orsman Road
 London United Kingdom",1,1,2020-11-19,2020-11-19,LIDCO 16 ORSMAN ROAD LONDON UNITED KINGDOM
"LUMINOSTICS, INC dba CLIP HEALTH",1,1,2022-09-02,2022-09-02,LUMINOSTICS CLIP HEALTH
"Liberty Medical Solutions, LLC",1,1,2023-11-03,2023-11-03,LIBERTY MEDICAL SOLUTIONS
Lexamed,1,1,2009-01-13,2009-01-13,LEXAMED
LUMITHERA INC,1,1,2025-05-07,2025-05-07,LUMITHERA
Leventon S. A. U. Calle Newton 18 24 Sant Esteve Sesrovires Barcelona Spain,1,1,2019-05-23,2019-05-23,LEVENTON S A U CALLE NEWTON 18 24 SANT ESTEVE SESROVIRES BARCELONA SPAIN
"Leventon S. A. U. C/ Newton, 18-24 Sant Esteve Sesrovires Barcelona Spain",1,1,2011-03-11,2011-03-11,LEVENTON S A U C NEWTON 18 24 SANT ESTEVE SESROVIRES BARCELONA SPAIN
LetsGetChecked Inc.,1,1,2022-03-16,2022-03-16,LETSGETCHECKED
"Laboratoires Bodycad, Inc.",1,1,2021-07-02,2021-07-02,LABORATOIRES BODYCAD
Laborie Medical Technologies,1,1,2006-10-04,2006-10-04,LABORIE MEDICAL TECHNOLOGIES
Lens.com,1,1,2018-08-14,2018-08-14,LENS COM
Laborie Medical Technologies Cor,1,1,2009-04-09,2009-04-09,LABORIE MEDICAL TECHNOLOGIES COR
Laborie Medical Technologies Corp,1,1,2026-05-21,2026-05-21,LABORIE MEDICAL TECHNOLOGIES
Labories Medical Technologies,1,1,2023-02-07,2023-02-07,LABORIES MEDICAL TECHNOLOGIES
"Leica Biosystems Newcastle Ltd. Balliol Business Park West, Benton Lane Newcastle Upon Tyne United Kingdom",1,1,2013-07-31,2013-07-31,LEICA BIOSYSTEMS NEWCASTLE BALLIOL BUSINESS PARK WEST BENTON LANE NEWCASTLE UPON TYNE UNITED KINGDOM
Leica Biosystems Melbourne Pty Ltd,1,1,2025-04-02,2025-04-02,LEICA BIOSYSTEMS MELBOURNE PTY
"Laerdal Medical (Suzhou) Co., Ltd. Science & Technology Ind. Park No.",1,1,2020-12-18,2020-12-18,LAERDAL MEDICAL SUZHOU SCIENCE AND TECHNOLOGY IND PARK NO
Leibel-Flarsheim Company LLC,1,1,2013-04-25,2013-04-25,LEIBEL FLARSHEIM
Lansinoh Laboratories Inc,1,1,2012-08-14,2012-08-14,LANSINOH LABORATORIES
Laurimed LLC,1,1,2014-04-07,2014-04-07,LAURIMED
Laserworld Usa Inc,1,1,2012-07-19,2012-07-19,LASERWORLD
LMS Medical Systems Ltd,1,1,2005-01-11,2005-01-11,LMS MEDICAL SYSTEMS
LifeNet,1,1,2002-12-19,2002-12-19,LIFENET
Lifecor Inc,1,1,2003-01-10,2003-01-10,LIFECOR
Linet Americas,1,1,2020-03-06,2020-03-06,LINET AMERICAS
Lodox Na Llc,1,1,2004-05-10,2004-05-10,LODOX NA
"Lockheed Martin Gyrocam Systems, Inc.",1,1,2010-01-21,2010-01-21,LOCKHEED MARTIN GYROCAM SYSTEMS
Livongo Health,1,1,2016-02-18,2016-02-18,LIVONGO HEALTH
"Koven Technology, Inc.",1,1,2026-03-04,2026-03-04,KOVEN TECHNOLOGY
Linvatec Imaging,1,1,2005-08-01,2005-08-01,LINVATEC IMAGING
Kowa Optimed Inc,1,1,2020-11-03,2020-11-03,KOWA OPTIMED
Kreatech Biotechnology Bv Vlierweg 20 Amsterdam Netherlands,1,1,2024-11-01,2024-11-01,KREATECH BIOTECHNOLOGY VLIERWEG 20 AMSTERDAM NETHERLANDS
Linvatec Corp DBA Linvatec/Hal,1,1,2003-01-24,2003-01-24,LINVATEC LINVATEC HAL
Kreg Medical Inc.,1,1,2012-08-02,2012-08-02,KREG MEDICAL
Linet Spol. S.r.o. Zelevcice 5 Zelevcice Czech Republic,1,1,2023-01-18,2023-01-18,LINET SPOL S R O ZELEVCICE 5 ZELEVCICE CZECH REPUBLIC
Kreuzer Gmbh & Co. KG BenzstraBe 26 Puchheim Germany,1,1,2010-10-26,2010-10-26,KREUZER AND KG BENZSTRABE 26 PUCHHEIM GERMANY
"Linde Gas North America Llc
 575 Mountain Ave
 Attn Import Compliance Manager
 New Providence NJ 07974",1,1,2013-03-08,2013-03-08,LINDE GAS NORTH AMERICA 575 MOUNTAIN AVE ATTN IMPORT COMPLIANCE MANAGER NEW PROVIDENCE NJ 07974
"Lifecore Biomedical, Inc.",1,1,2004-06-03,2004-06-03,LIFECORE BIOMEDICAL
"LABORIE MEDICAL TECHNOLOGIES, CANADA ULC",1,1,2020-04-22,2020-04-22,LABORIE MEDICAL TECHNOLOGIES CANADA ULC
"LABORIE MEDICAL TECHNOLOGIES, CORP",1,1,2019-07-17,2019-07-17,LABORIE MEDICAL TECHNOLOGIES
Limacorporate S.p.A Via Nazionale 52 Frazione Villanova San Daniele del Friuli Italy,1,1,2017-09-08,2017-09-08,LIMACORPORATE S P A VIA NAZIONALE 52 FRAZIONE VILLANOVA SAN DANIELE DEL FRIULI ITALY
"LABSTYLE INNOVATIONS 7, Derekh Menakhem Begin Ramat Gan Israel",1,1,2019-08-29,2019-08-29,LABSTYLE INNOVATIONS 7 DEREKH MENAKHEM BEGIN RAMAT GAN ISRAEL
"LimFlow, Inc.",1,1,2025-12-05,2025-12-05,LIMFLOW
"LDR Spine USA, Inc.",1,1,2016-08-29,2016-08-29,LDR SPINE
LEASEIR TECHNOLOGIES SLU Calle Marconi G 246 Gijon Spain,1,1,2025-12-15,2025-12-15,LEASEIR TECHNOLOGIES SLU CALLE MARCONI G 246 GIJON SPAIN
LightMed USA Inc,1,1,2003-11-11,2003-11-11,LIGHTMED
"LINEAGE BIOMEDICAL, INC",1,1,2024-07-12,2024-07-12,LINEAGE BIOMEDICAL
LINK BIO CORP,1,1,2024-06-27,2024-06-27,LINK BIO
Lifeline Systems Company,1,1,2017-11-13,2017-11-13,LIFELINE SYSTEMS
"Macan Engineering and Manufacturing Co., Inc.",1,1,2006-04-05,2006-04-05,MACAN ENGINEERING AND MANUFACTURING
KOB GmbH Lauterstr. 50 Wolfstein Germany,1,1,2026-01-15,2026-01-15,KOB LAUTERSTR 50 WOLFSTEIN GERMANY
"Instrumentarium Dental, Inc.",1,1,2006-04-28,2006-04-28,INSTRUMENTARIUM DENTAL
Medicalplastic S.R.L. Via Saverio Mercadante,1,1,2021-06-17,2021-06-17,MEDICALPLASTIC S R L VIA SAVERIO MERCADANTE
Medical Vision Ab Haestholmsvaegen,1,1,2016-05-10,2016-05-10,MEDICAL VISION HAESTHOLMSVAEGEN
"Medical Specialties Distributors, Inc.",1,1,2012-08-03,2012-08-03,MEDICAL SPECIALTIES DISTRIBUTORS
"Interactive Motion Technologies, Inc.",1,1,2012-05-05,2012-05-05,INTERACTIVE MOTION TECHNOLOGIES
Intermed Gas Products Corporation,1,1,2009-03-27,2009-03-27,INTERMED GAS PRODUCTS
"International Biomedical, Ltd.",1,1,2013-05-24,2013-05-24,BIOMEDICAL
"Medical Modeling, Inc.",1,1,2022-05-17,2022-05-17,MEDICAL MODELING
Medical Intelligence Medizintechnik Gmbh Robert-bosch-str. 8 Schwabmunchen Germany,1,1,2019-07-18,2019-07-18,MEDICAL INTELLIGENCE MEDIZINTECHNIK ROBERT BOSCH STR 8 SCHWABMUNCHEN GERMANY
"International Medical Industries, Inc.",1,1,2022-09-16,2022-09-16,MEDICAL INDUSTRIES
"Medical Indicators, Inc.",1,1,2013-07-10,2013-07-10,MEDICAL INDICATORS
International Remote Imaging Systems Inc,1,1,2005-04-29,2005-04-29,REMOTE IMAGING SYSTEMS
Medical Device Group Inc.,1,1,2005-06-08,2005-06-08,MEDICAL DEVICE
"International Science & Technology, LP, DBA Diamatrix Ltd.",1,1,2022-02-24,2022-02-24,SCIENCE AND TECHNOLOGY DIAMATRIX
International Technidyne Corp,1,1,2006-01-23,2006-01-23,TECHNIDYNE
"Intersect ENT, Inc.",1,1,2022-10-21,2022-10-21,INTERSECT ENT
Intio Inc,1,1,2013-02-26,2013-02-26,INTIO
"Medibo N.V. Heikant 5 Hanmont, Achel Belgium",1,1,2004-08-04,2004-08-04,MEDIBO N V HEIKANT 5 HANMONT ACHEL BELGIUM
Intra Pump Infusion Systems,1,1,2013-10-18,2013-10-18,INTRA PUMP INFUSION SYSTEMS
Medi-Physics Inc. dba GE Healthcare,1,1,2011-09-20,2011-09-20,MEDI PHYSICS GE HEALTHCARE
Medi Manufacturing Inc,1,1,2006-08-11,2006-08-11,MEDI MANUFACTURING
Intraop Medical Corporation,1,1,2008-06-20,2008-06-20,INTRAOP MEDICAL
"Mederi Therapeutics, Inc",1,1,2017-04-03,2017-04-03,MEDERI THERAPEUTICS
Medela Inc. EF Division,1,1,2015-02-13,2015-02-13,MEDELA EF DIVISION
"IntroMedic Co., Ltd. F-Rtek 6 Floor 11-25 Simindaero327beon-Gil; Dongan Anyang Korea (the Republic of)",1,1,2017-02-15,2017-02-15,INTROMEDIC F RTEK 6 FLOOR 11 25 SIMINDAERO327BEON GIL DONGAN ANYANG KOREA REPUBLIC OF
Medela AG Medical Technology Lattichstrasse 4b Baai Switzerland,1,1,2020-12-02,2020-12-02,MEDELA MEDICAL TECHNOLOGY LATTICHSTRASSE 4B BAAI SWITZERLAND
Invatec Llc,1,1,2009-03-04,2009-03-04,INVATEC
MedicalCommunications GmbH Max-Jarecki-Str. 8 Heidelberg Germany,1,1,2025-09-09,2025-09-09,MEDICALCOMMUNICATIONS MAX JARECKI STR 8 HEIDELBERG GERMANY
Medicel Ag Luchton 1262 Wolfhalden Switzerland,1,1,2013-08-05,2013-08-05,MEDICEL LUCHTON 1262 WOLFHALDEN SWITZERLAND
"KENT IMAGING, INC.",1,1,2023-10-30,2023-10-30,KENT IMAGING
"Intera Oncology, Inc.",1,1,2022-07-10,2022-07-10,INTERA ONCOLOGY
"Instrumentarium Dental, PaloDEx Group Oy Nahkelantie 160 Tuusula Finland",1,1,2014-01-14,2014-01-14,INSTRUMENTARIUM DENTAL PALODEX NAHKELANTIE 160 TUUSULA FINLAND
Integra Biotechnical LLC,1,1,2007-02-01,2007-02-01,INTEGRA BIOTECHNICAL
"Medtrol, Inc.",1,1,2009-12-02,2009-12-02,MEDTROL
